Season,Player,Age,Games Played,Team Win Percentage,Minutes Played,Points,Rebounds,Assists,Field Goal Percentage,Free Throw Percentage
1979-80,Kareem Abdul-Jabbar\abdulka01,32,82,,38.3,24.8,10.8,4.5,0.604,0.765
1978-79,Moses Malone\malonmo01,23,82,,41.3,24.8,17.6,1.8,0.54,0.739
1977-78,Bill Walton\waltobi01,25,58,,33.3,18.9,13.2,5,0.522,0.72
1976-77,Kareem Abdul-Jabbar\abdulka01,29,82,,36.8,26.2,13.3,3.9,0.579,0.701
1975-76,Kareem Abdul-Jabbar\abdulka01,28,82,,41.2,27.7,16.9,5,0.529,0.703
1974-75,Bob McAdoo\mcadobo01,23,82,,43.2,34.5,14.1,2.2,0.512,0.805
1973-74,Kareem Abdul-Jabbar\abdulka01,26,81,,43.8,27,14.5,4.8,0.539,0.702
1972-73,Dave Cowens\cowenda01,24,82,,41.8,20.5,16.2,4.1,0.452,0.779
1971-72,Kareem Abdul-Jabbar\abdulka01,24,81,,44.2,34.8,16.6,4.6,0.574,0.689
1970-71,Kareem Abdul-Jabbar\abdulka01,23,82,,40.1,31.7,16,3.3,0.577,0.69
1969-70,Willis Reed\reedwi01,27,81,,38.1,21.7,13.9,2,0.507,0.756
1968-69,Wes Unseld\unselwe01,22,82,,36.2,13.8,18.2,2.6,0.476,0.605
1967-68,Wilt Chamberlain\chambwi01,31,82,,46.8,24.3,23.8,8.6,0.595,0.38
1966-67,Wilt Chamberlain\chambwi01,30,81,,45.5,24.1,24.2,7.8,0.683,0.441
1965-66,Wilt Chamberlain\chambwi01,29,79,,47.3,33.5,24.6,5.2,0.54,0.513
1964-65,Bill Russell\russebi01,30,78,,44.4,14.1,24.1,5.3,0.438,0.573
1963-64,Oscar Robertson\roberos01,25,79,,45.1,31.4,9.9,11,0.483,0.853
1962-63,Bill Russell\russebi01,28,78,,44.9,16.8,23.6,4.5,0.432,0.555
1961-62,Bill Russell\russebi01,27,76,,45.2,18.9,23.6,4.5,0.457,0.595
1960-61,Bill Russell\russebi01,26,78,,44.3,16.9,23.9,3.4,0.426,0.55
1959-60,Wilt Chamberlain\chambwi01,23,72,,46.4,37.6,27,2.3,0.461,0.582
1958-59,Bob Pettit\pettibo01,26,72,,39.9,29.2,16.4,3.1,0.438,0.759
1957-58,Bill Russell\russebi01,23,69,,38.3,16.6,22.7,2.9,0.442,0.519
1956-57,Bob Cousy\cousybo01,28,64,,36.9,20.6,4.8,7.5,0.378,0.821
1955-56,Bob Pettit\pettibo01,23,72,,38.8,25.7,16.2,2.6,0.429,0.736
